query_node,rtt_ms,hilbert_order,gt_nodes,returned_nodes,tp_nodes,fp_nodes,fn_nodes
serf1,5,10,serf2 serf3 serf7 serf8,serf2 serf3 serf7 serf8,serf2 serf3 serf7 serf8,,
serf1,15,10,serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf3 serf4 serf5 serf6 serf7 serf8 serf9,serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf3 serf4 serf5 serf6 serf7 serf8 serf9,serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf3 serf4 serf5 serf6 serf7 serf8 serf9,,
serf5,5,10,serf10 serf11 serf12 serf3 serf4 serf6,serf10 serf11 serf12 serf3 serf4 serf6,serf10 serf11 serf12 serf3 serf4 serf6,,
serf5,15,10,serf1 serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf2 serf20 serf21 serf22 serf23 serf24 serf3 serf4 serf6 serf7 serf8 serf9,serf1 serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf2 serf20 serf21 serf22 serf23 serf24 serf3 serf4 serf6 serf7 serf8 serf9,serf1 serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf2 serf20 serf21 serf22 serf23 serf24 serf3 serf4 serf6 serf7 serf8 serf9,,
serf10,5,10,serf11 serf12 serf15 serf16 serf17 serf3 serf4 serf5 serf8 serf9,serf11 serf12 serf15 serf16 serf17 serf3 serf4 serf5 serf8 serf9,serf11 serf12 serf15 serf16 serf17 serf3 serf4 serf5 serf8 serf9,,
serf10,15,10,serf1 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf6 serf7 serf8 serf9,serf1 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf6 serf7 serf8 serf9,serf1 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf6 serf7 serf8 serf9,,
serf11,5,10,serf10 serf12 serf16 serf17 serf18 serf4 serf5 serf6 serf9,serf10 serf12 serf16 serf17 serf18 serf4 serf5 serf6 serf9,serf10 serf12 serf16 serf17 serf18 serf4 serf5 serf6 serf9,,
serf11,15,10,serf1 serf10 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf23 serf24 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf6 serf7 serf8 serf9,serf1 serf10 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf23 serf24 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf6 serf7 serf8 serf9,serf1 serf10 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf23 serf24 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf6 serf7 serf8 serf9,,
serf15,5,10,serf10 serf13 serf14 serf16 serf17 serf20 serf21 serf22 serf8 serf9,serf10 serf13 serf14 serf16 serf17 serf20 serf21 serf22 serf8 serf9,serf10 serf13 serf14 serf16 serf17 serf20 serf21 serf22 serf8 serf9,,
serf15,15,10,serf1 serf10 serf11 serf12 serf13 serf14 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf6 serf7 serf8 serf9,serf1 serf10 serf11 serf12 serf13 serf14 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf6 serf7 serf8 serf9,serf1 serf10 serf11 serf12 serf13 serf14 serf16 serf17 serf18 serf19 serf2 serf20 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf6 serf7 serf8 serf9,,
serf20,5,10,serf13 serf14 serf15 serf19 serf21 serf22 serf25 serf26 serf27,serf13 serf14 serf15 serf19 serf21 serf22 serf25 serf26 serf27,serf13 serf14 serf15 serf19 serf21 serf22 serf25 serf26 serf27,,
serf20,15,10,serf1 serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf7 serf8 serf9,serf1 serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf7 serf8 serf9,serf1 serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf2 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf3 serf30 serf4 serf5 serf7 serf8 serf9,,
serf25,5,10,serf19 serf20 serf26 serf27,serf19 serf20 serf26 serf27,serf19 serf20 serf26 serf27,,
serf25,15,10,serf10 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf20 serf21 serf22 serf23 serf24 serf26 serf27 serf28 serf29 serf30 serf7 serf8 serf9,serf10 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf20 serf21 serf22 serf23 serf24 serf26 serf27 serf28 serf29 serf30 serf7 serf8 serf9,serf10 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf20 serf21 serf22 serf23 serf24 serf26 serf27 serf28 serf29 serf30 serf7 serf8 serf9,,
serf30,5,10,serf23 serf24 serf28 serf29,serf23 serf24 serf28 serf29,serf23 serf24 serf28 serf29,,
serf30,15,10,serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf20 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf9,serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf20 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf9,serf10 serf11 serf12 serf13 serf14 serf15 serf16 serf17 serf18 serf19 serf20 serf21 serf22 serf23 serf24 serf25 serf26 serf27 serf28 serf29 serf9,,
