tp,fp,fn,precision,recall,jaccard,fp_density,order,scenario
2696.0,4930.0,82.0,0.35352740624180434,0.9704823614110871,0.34976647638816816,,10,5D
2696.0,46.0,82.0,0.9832239241429613,0.9704823614110871,0.9546742209631728,0.01563030920829086,10,5DP
2696.0,4900.0,82.0,0.3549236440231701,0.9704823614110871,0.35113310758009897,,11,5D
2696.0,24.0,82.0,0.9911764705882353,0.9704823614110871,0.9621698786581013,0.008216364258815475,11,5DP
2696.0,4882.0,82.0,0.35576669305885456,0.9704823614110871,0.35195822454308096,,12,5D
2696.0,17.0,82.0,0.9937338739402876,0.9704823614110871,0.9645796064400716,0.005833905284831846,12,5DP
2696.0,4871.0,82.0,0.3562838641469539,0.9704823614110871,0.3524643744280298,,13,5D
2696.0,16.0,82.0,0.9941002949852508,0.9704823614110871,0.964924838940587,0.0054926192928252664,13,5DP
2696.0,4870.0,82.0,0.3563309542690986,0.9704823614110871,0.35251046025104604,,14,5D
2696.0,16.0,82.0,0.9941002949852508,0.9704823614110871,0.964924838940587,0.0054926192928252664,14,5DP
2696.0,4865.0,82.0,0.35656659172067184,0.9704823614110871,0.35274107026036894,,15,5D
2696.0,16.0,82.0,0.9941002949852508,0.9704823614110871,0.964924838940587,0.0054926192928252664,15,5DP
