query_node,rtt_ms,hilbert_order,box_lo,box_hi,depth,box_point_count,min_vec_dist_ms,q_height_ms,q_adj_ms,box_min_h_ms,box_min_adj_ms,min_h_node,min_adj_node,base_lb_ms,adjusted_lb_ms,serf_apply_adj_bestcase,serf_effective_lb_ms,serf_effective_lb_gt_T,fp_node,order_file
serf32,5,13,1974 1198 3021 5212 1798,1974 1198 3021 5212 1798,10,1,3.59994,0.488207,-4.78439,5.18121,-4.89927,serf31,serf31,9.26935,-0.414306,0,9.26935,1,serf31,13
serf32,5,13,1974 1218 3031 5232 1788,1974 1218 3031 5232 1788,10,1,3.63136,0.488207,-4.78439,5.07507,-4.84784,serf30,serf30,9.19463,-0.437596,0,9.19463,1,serf30,13
serf127,5,13,1923 2937 1686 2166 1143,1923 2937 1686 2166 1143,10,1,1.88864,2.63326,-5.03545,2.65669,-4.81472,serf125,serf125,7.17859,-2.67158,0,7.17859,1,serf125,13
serf127,5,13,1913 2925 1684 2260 1136,1913 2925 1684 2260 1136,10,1,1.38372,2.63326,-5.03545,2.18185,-4.88635,serf126,serf126,6.19884,-3.72296,0,6.19884,1,serf126,13
serf26,5,13,1974 1218 3031 5232 1788,1974 1218 3031 5232 1788,10,1,2.34814,1.60458,-4.54255,5.07507,-4.84784,serf30,serf30,9.02779,-0.362607,0,9.02779,1,serf30,13
serf26,5,13,1974 1198 3021 5212 1798,1974 1198 3021 5212 1798,10,1,2.36244,1.60458,-4.54255,5.18121,-4.89927,serf31,serf31,9.14823,-0.293598,0,9.14823,1,serf31,13
serf126,5,13,1923 2937 1686 2166 1143,1923 2937 1686 2166 1143,10,1,0.964648,2.18185,-4.88635,2.65669,-4.81472,serf125,serf125,5.80319,-3.89788,0,5.80319,1,serf125,13
serf126,5,13,1802 2859 1652 2278 1161,1802 2859 1652 2278 1161,10,1,1.38228,2.18185,-4.88635,2.63326,-5.03545,serf127,serf127,6.19739,-3.7244,0,6.19739,1,serf127,13
serf97,5,13,34 3862 3670 2493 2068,34 3862 3670 2493 2068,10,1,4.21844,1.72899,-4.93511,0.186137,-4.65886,serf98,serf98,6.13357,-3.4604,0,6.13357,1,serf98,13
serf125,5,13,1913 2925 1684 2260 1136,1913 2925 1684 2260 1136,10,1,0.963936,2.65669,-4.81472,2.18185,-4.88635,serf126,serf126,5.80248,-3.89859,0,5.80248,1,serf126,13
serf125,5,13,1802 2859 1652 2278 1161,1802 2859 1652 2278 1161,10,1,1.88114,2.65669,-4.81472,2.63326,-5.03545,serf127,serf127,7.17108,-2.67909,0,7.17108,1,serf127,13
serf31,5,13,2093 1085 3165 5293 1796,2093 1085 3165 5293 1796,10,1,2.3578,5.18121,-4.89927,1.60458,-4.54255,serf26,serf26,9.1436,-0.298229,0,9.1436,1,serf26,13
serf31,5,13,2046 930 3168 5377 1799,2046 930 3168 5377 1799,10,1,3.59835,5.18121,-4.89927,0.488207,-4.78439,serf32,serf32,9.26776,-0.415895,0,9.26776,1,serf32,13
serf98,5,13,303 3636 3600 2550 2273,303 3636 3600 2550 2273,10,1,4.22803,0.186137,-4.65886,1.72899,-4.93511,serf97,serf97,6.14316,-3.45082,0,6.14316,1,serf97,13
serf30,5,13,2046 930 3168 5377 1799,2046 930 3168 5377 1799,10,1,3.63186,5.07507,-4.84784,0.488207,-4.78439,serf32,serf32,9.19514,-0.437093,0,9.19514,1,serf32,13
serf30,5,13,2093 1085 3165 5293 1796,2093 1085 3165 5293 1796,10,1,2.34433,5.07507,-4.84784,1.60458,-4.54255,serf26,serf26,9.02398,-0.366421,0,9.02398,1,serf26,13
serf32,5,14,3948 2397 6043 10424 3596,3948 2397 6043 10424 3596,11,1,3.60719,0.488207,-4.78439,5.18121,-4.89927,serf31,serf31,9.27661,-0.407053,0,9.27661,1,serf31,14
serf32,5,14,3949 2437 6063 10464 3576,3949 2437 6063 10464 3576,11,1,3.63767,0.488207,-4.78439,5.07507,-4.84784,serf30,serf30,9.20094,-0.43129,0,9.20094,1,serf30,14
serf127,5,14,3846 5874 3373 4333 2287,3846 5874 3373 4333 2287,11,1,1.88957,2.63326,-5.03545,2.65669,-4.81472,serf125,serf125,7.17952,-2.67065,0,7.17952,1,serf125,14
serf127,5,14,3827 5851 3369 4520 2272,3827 5851 3369 4520 2272,11,1,1.3931,2.63326,-5.03545,2.18185,-4.88635,serf126,serf126,6.20822,-3.71358,0,6.20822,1,serf126,14
serf26,5,14,3949 2437 6063 10464 3576,3949 2437 6063 10464 3576,11,1,2.35258,1.60458,-4.54255,5.07507,-4.84784,serf30,serf30,9.03222,-0.358174,0,9.03222,1,serf30,14
serf26,5,14,3948 2397 6043 10424 3596,3948 2397 6043 10424 3596,11,1,2.36927,1.60458,-4.54255,5.18121,-4.89927,serf31,serf31,9.15506,-0.286764,0,9.15506,1,serf31,14
