query_node,rtt_ms,hilbert_order,truth_size,returned,tp,fp,fn,precision,recall,jaccard
serf1,5,10,2,5,2,3,0,0.4,1,0.4
serf1,15,10,11,17,9,8,2,0.529412,0.818182,0.473684
serf5,5,10,1,5,1,4,0,0.2,1,0.2
serf5,15,10,7,13,7,6,0,0.538462,1,0.538462
serf10,5,10,0,0,0,0,0,nan,nan,nan
serf10,15,10,5,0,0,0,5,nan,0,0
serf11,5,10,4,5,4,1,0,0.8,1,0.8
serf11,15,10,12,10,10,0,2,1,0.833333,0.833333
serf15,5,10,0,5,0,5,0,0,nan,0
serf15,15,10,6,13,6,7,0,0.461538,1,0.461538
serf20,5,10,0,0,0,0,0,nan,nan,nan
serf20,15,10,4,1,1,0,3,1,0.25,0.25
serf21,5,10,3,5,3,2,0,0.6,1,0.6
serf21,15,10,10,9,9,0,1,1,0.9,0.9
serf25,5,10,3,5,3,2,0,0.6,1,0.6
serf25,15,10,8,10,8,2,0,0.8,1,0.8
serf30,5,10,0,0,0,0,0,nan,nan,nan
serf30,15,10,6,2,2,0,4,1,0.333333,0.333333
