query_node,rtt_ms,hilbert_order,truth_size,returned,tp,fp,fn,precision,recall,jaccard
serf1,5,10,4,4,4,0,0,1,1,1
serf1,15,10,13,12,12,0,1,1,0.923077,0.923077
serf5,5,10,1,1,1,0,0,1,1,1
serf5,15,10,7,7,7,0,0,1,1,1
serf10,5,10,0,0,0,0,0,nan,nan,nan
serf10,15,10,5,5,5,0,0,1,1,1
serf11,5,10,3,3,3,0,0,1,1,1
serf11,15,10,11,11,11,0,0,1,1,1
serf15,5,10,0,0,0,0,0,nan,nan,nan
serf15,15,10,8,8,8,0,0,1,1,1
serf20,5,10,0,0,0,0,0,nan,nan,nan
serf20,15,10,5,5,5,0,0,1,1,1
serf21,5,10,4,4,4,0,0,1,1,1
serf21,15,10,10,9,9,0,1,1,0.9,0.9
serf25,5,10,1,1,1,0,0,1,1,1
serf25,15,10,9,9,9,0,0,1,1,1
serf30,5,10,0,0,0,0,0,nan,nan,nan
serf30,15,10,6,6,6,0,0,1,1,1
