query_node,rtt_ms,hilbert_order,truth_size,returned,tp,fp,fn,precision,recall,jaccard
serf1,5,10,4,4,4,0,0,1,1,1
serf1,15,10,21,21,21,0,0,1,1,1
serf5,5,10,6,6,6,0,0,1,1,1
serf5,15,10,22,22,22,0,0,1,1,1
serf10,5,10,10,10,10,0,0,1,1,1
serf10,15,10,29,29,29,0,0,1,1,1
serf11,5,10,9,9,9,0,0,1,1,1
serf11,15,10,28,28,28,0,0,1,1,1
serf15,5,10,10,10,10,0,0,1,1,1
serf15,15,10,29,29,29,0,0,1,1,1
serf20,5,10,9,9,9,0,0,1,1,1
serf20,15,10,28,28,28,0,0,1,1,1
serf25,5,10,4,4,4,0,0,1,1,1
serf25,15,10,21,21,21,0,0,1,1,1
serf30,5,10,4,4,4,0,0,1,1,1
serf30,15,10,21,21,21,0,0,1,1,1
